week,agent_role,action,reward,done,policy_type,model_name,tool_order,llm_order,difference,consensus_gap,state_json,next_state_json,info_json
2,Distributor,50,-22.0,False,llm,Qwen/Qwen3-4B,,50,,45,"{""inventory"": 20, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 10, ""last_order"": 10, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 10, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 6, ""last_order"": 50, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 22.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
2,Factory,10,-22.0,False,llm,Qwen/Qwen3-4B,,10,,45,"{""inventory"": 10, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 10, ""last_order"": 10, ""current_week"": 2, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 50, ""last_order"": 10, ""current_week"": 2, ""lead_time"": 2}","{""cost"": 22.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
3,Retailer,5,-130.5,False,llm,Qwen/Qwen3-4B,,5,,25,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 4, ""last_order"": 5, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 14, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 4, ""last_order"": 5, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 110.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
3,Wholesaler,15,-130.5,False,llm,Qwen/Qwen3-4B,,15,,25,"{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 5, ""last_order"": 6, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 1, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 5, ""last_order"": 15, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 110.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
3,Distributor,30,-130.5,False,llm,Qwen/Qwen3-4B,,30,,25,"{""inventory"": 10, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 6, ""last_order"": 50, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 14, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 15, ""last_order"": 30, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 110.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
3,Factory,20,-130.5,False,llm,Qwen/Qwen3-4B,,20,,25,"{""inventory"": 0, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 50, ""last_order"": 10, ""current_week"": 3, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 40, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 30, ""last_order"": 20, ""current_week"": 3, ""lead_time"": 2}","{""cost"": 110.0, ""bullwhip"": null, ""negotiation_proposals"": null}"
4,Retailer,30,-178.9796875,False,llm,Qwen/Qwen3-4B,,30,,27,"{""inventory"": 14, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 4, ""last_order"": 5, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 8, ""last_order"": 30, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 145.0, ""bullwhip"": 39.796875, ""negotiation_proposals"": null}"
4,Wholesaler,3,-178.9796875,False,llm,Qwen/Qwen3-4B,,3,,27,"{""inventory"": 0, ""backlog"": 1, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 5, ""last_order"": 15, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 21, ""pipeline_inventory"": 21, ""last_customer_demand"": 30, ""last_order"": 3, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 145.0, ""bullwhip"": 39.796875, ""negotiation_proposals"": null}"
4,Distributor,30,-178.9796875,False,llm,Qwen/Qwen3-4B,,30,,27,"{""inventory"": 14, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 15, ""last_order"": 30, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 9, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 3, ""last_order"": 30, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 145.0, ""bullwhip"": 39.796875, ""negotiation_proposals"": null}"
4,Factory,30,-178.9796875,False,llm,Qwen/Qwen3-4B,,30,,27,"{""inventory"": 0, ""backlog"": 40, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 30, ""last_order"": 20, ""current_week"": 4, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 60, ""incoming_shipments"": 30, ""pipeline_inventory"": 30, ""last_customer_demand"": 30, ""last_order"": 30, ""current_week"": 4, ""lead_time"": 2}","{""cost"": 145.0, ""bullwhip"": 39.796875, ""negotiation_proposals"": null}"
5,Retailer,40,-277.6462890625,False,llm,Qwen/Qwen3-4B,,40,,25,"{""inventory"": 12, ""backlog"": 0, ""incoming_shipments"": 10, ""pipeline_inventory"": 10, ""last_customer_demand"": 8, ""last_order"": 30, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 8, ""last_order"": 40, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 224.0, ""bullwhip"": 36.462890625, ""negotiation_proposals"": null}"
5,Wholesaler,15,-277.6462890625,False,llm,Qwen/Qwen3-4B,,15,,25,"{""inventory"": 4, ""backlog"": 0, ""incoming_shipments"": 21, ""pipeline_inventory"": 21, ""last_customer_demand"": 30, ""last_order"": 3, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 40, ""last_order"": 15, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 224.0, ""bullwhip"": 36.462890625, ""negotiation_proposals"": null}"
5,Distributor,40,-277.6462890625,False,llm,Qwen/Qwen3-4B,,40,,25,"{""inventory"": 9, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 3, ""last_order"": 30, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 15, ""last_order"": 40, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 224.0, ""bullwhip"": 36.462890625, ""negotiation_proposals"": null}"
5,Factory,30,-277.6462890625,False,llm,Qwen/Qwen3-4B,,30,,25,"{""inventory"": 0, ""backlog"": 60, ""incoming_shipments"": 30, ""pipeline_inventory"": 30, ""last_customer_demand"": 30, ""last_order"": 30, ""current_week"": 5, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 80, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 40, ""last_order"": 30, ""current_week"": 5, ""lead_time"": 2}","{""cost"": 224.0, ""bullwhip"": 36.462890625, ""negotiation_proposals"": null}"
6,Retailer,56,-385.0708333333333,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 16, ""pipeline_inventory"": 16, ""last_customer_demand"": 8, ""last_order"": 40, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 6, ""backlog"": 0, ""incoming_shipments"": 25, ""pipeline_inventory"": 25, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 307.0, ""bullwhip"": 55.708333333333336, ""negotiation_proposals"": null}"
6,Wholesaler,35,-385.0708333333333,False,llm,Qwen/Qwen3-4B,,35,,21,"{""inventory"": 0, ""backlog"": 20, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 40, ""last_order"": 15, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 45, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 307.0, ""bullwhip"": 55.708333333333336, ""negotiation_proposals"": null}"
6,Distributor,55,-385.0708333333333,False,llm,Qwen/Qwen3-4B,,55,,21,"{""inventory"": 16, ""backlog"": 0, ""incoming_shipments"": 20, ""pipeline_inventory"": 20, ""last_customer_demand"": 15, ""last_order"": 40, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 11, ""backlog"": 0, ""incoming_shipments"": 30, ""pipeline_inventory"": 30, ""last_customer_demand"": 35, ""last_order"": 55, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 307.0, ""bullwhip"": 55.708333333333336, ""negotiation_proposals"": null}"
6,Factory,40,-385.0708333333333,False,llm,Qwen/Qwen3-4B,,40,,21,"{""inventory"": 0, ""backlog"": 80, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 40, ""last_order"": 30, ""current_week"": 6, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 100, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 55, ""last_order"": 40, ""current_week"": 6, ""lead_time"": 2}","{""cost"": 307.0, ""bullwhip"": 55.708333333333336, ""negotiation_proposals"": null}"
7,Retailer,56,-606.6791015625,False,llm,Qwen/Qwen3-4B,,56,,26,"{""inventory"": 6, ""backlog"": 0, ""incoming_shipments"": 25, ""pipeline_inventory"": 25, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 482.0, ""bullwhip"": 61.791015625, ""negotiation_proposals"": null}"
7,Wholesaler,35,-606.6791015625,False,llm,Qwen/Qwen3-4B,,35,,26,"{""inventory"": 0, ""backlog"": 45, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 98, ""incoming_shipments"": 36, ""pipeline_inventory"": 36, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 482.0, ""bullwhip"": 61.791015625, ""negotiation_proposals"": null}"
7,Distributor,30,-606.6791015625,False,llm,Qwen/Qwen3-4B,,30,,26,"{""inventory"": 11, ""backlog"": 0, ""incoming_shipments"": 30, ""pipeline_inventory"": 30, ""last_customer_demand"": 35, ""last_order"": 55, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 14, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 35, ""last_order"": 30, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 482.0, ""bullwhip"": 61.791015625, ""negotiation_proposals"": null}"
7,Factory,40,-606.6791015625,False,llm,Qwen/Qwen3-4B,,40,,26,"{""inventory"": 0, ""backlog"": 100, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 55, ""last_order"": 40, ""current_week"": 7, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 125, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 30, ""last_order"": 40, ""current_week"": 7, ""lead_time"": 2}","{""cost"": 482.0, ""bullwhip"": 61.791015625, ""negotiation_proposals"": null}"
8,Retailer,56,-754.2546875,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 8, ""backlog"": 0, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 15, ""backlog"": 0, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 601.0, ""bullwhip"": 67.546875, ""negotiation_proposals"": null}"
8,Wholesaler,42,-754.2546875,False,llm,Qwen/Qwen3-4B,,42,,21,"{""inventory"": 0, ""backlog"": 98, ""incoming_shipments"": 36, ""pipeline_inventory"": 36, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 139, ""incoming_shipments"": 41, ""pipeline_inventory"": 41, ""last_customer_demand"": 56, ""last_order"": 42, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 601.0, ""bullwhip"": 67.546875, ""negotiation_proposals"": null}"
8,Distributor,35,-754.2546875,False,llm,Qwen/Qwen3-4B,,35,,21,"{""inventory"": 0, ""backlog"": 14, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 35, ""last_order"": 30, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 29, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 42, ""last_order"": 35, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 601.0, ""bullwhip"": 67.546875, ""negotiation_proposals"": null}"
8,Factory,40,-754.2546875,False,llm,Qwen/Qwen3-4B,,40,,21,"{""inventory"": 0, ""backlog"": 125, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 30, ""last_order"": 40, ""current_week"": 8, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 125, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 8, ""lead_time"": 2}","{""cost"": 601.0, ""bullwhip"": 67.546875, ""negotiation_proposals"": null}"
9,Retailer,56,-855.148828125,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 15, ""backlog"": 0, ""incoming_shipments"": 18, ""pipeline_inventory"": 18, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 10, ""backlog"": 0, ""incoming_shipments"": 36, ""pipeline_inventory"": 36, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 680.0, ""bullwhip"": 76.48828125, ""negotiation_proposals"": null}"
9,Wholesaler,56,-855.148828125,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 0, ""backlog"": 139, ""incoming_shipments"": 41, ""pipeline_inventory"": 41, ""last_customer_demand"": 56, ""last_order"": 42, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 174, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 680.0, ""bullwhip"": 76.48828125, ""negotiation_proposals"": null}"
9,Distributor,35,-855.148828125,False,llm,Qwen/Qwen3-4B,,35,,21,"{""inventory"": 0, ""backlog"": 29, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 42, ""last_order"": 35, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 41, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 680.0, ""bullwhip"": 76.48828125, ""negotiation_proposals"": null}"
9,Factory,40,-855.148828125,False,llm,Qwen/Qwen3-4B,,40,,21,"{""inventory"": 0, ""backlog"": 125, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 9, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 120, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 9, ""lead_time"": 2}","{""cost"": 680.0, ""bullwhip"": 76.48828125, ""negotiation_proposals"": null}"
10,Retailer,56,-1005.2875,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 10, ""backlog"": 0, ""incoming_shipments"": 36, ""pipeline_inventory"": 36, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 10, ""lead_time"": 2}","{""inventory"": 17, ""backlog"": 0, ""incoming_shipments"": 41, ""pipeline_inventory"": 41, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 10, ""lead_time"": 2}","{""cost"": 801.0, ""bullwhip"": 82.875, ""negotiation_proposals"": null}"
10,Wholesaler,56,-1005.2875,False,llm,Qwen/Qwen3-4B,,56,,21,"{""inventory"": 0, ""backlog"": 174, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 10, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 210, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 10, ""lead_time"": 2}","{""cost"": 801.0, ""bullwhip"": 82.875, ""negotiation_proposals"": null}"
10,Distributor,35,-1005.2875,False,llm,Qwen/Qwen3-4B,,35,,21,"{""inventory"": 0, ""backlog"": 41, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 10, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 67, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 10, ""lead_time"": 2}","{""cost"": 801.0, ""bullwhip"": 82.875, ""negotiation_proposals"": null}"
10,Factory,40,-1005.2875,False,llm,Qwen/Qwen3-4B,,40,,21,"{""inventory"": 0, ""backlog"": 120, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 10, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 115, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 10, ""lead_time"": 2}","{""cost"": 801.0, ""bullwhip"": 82.875, ""negotiation_proposals"": null}"
11,Retailer,56,-1111.62119140625,False,llm,Qwen/Qwen3-4B,,56,,14,"{""inventory"": 17, ""backlog"": 0, ""incoming_shipments"": 41, ""pipeline_inventory"": 41, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 11, ""lead_time"": 2}","{""inventory"": 30, ""backlog"": 0, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 11, ""lead_time"": 2}","{""cost"": 888.0, ""bullwhip"": 91.2119140625, ""negotiation_proposals"": null}"
11,Wholesaler,56,-1111.62119140625,False,llm,Qwen/Qwen3-4B,,56,,14,"{""inventory"": 0, ""backlog"": 210, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 11, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 236, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 11, ""lead_time"": 2}","{""cost"": 888.0, ""bullwhip"": 91.2119140625, ""negotiation_proposals"": null}"
11,Distributor,42,-1111.62119140625,False,llm,Qwen/Qwen3-4B,,42,,14,"{""inventory"": 0, ""backlog"": 67, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 56, ""last_order"": 35, ""current_week"": 11, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 83, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 56, ""last_order"": 42, ""current_week"": 11, ""lead_time"": 2}","{""cost"": 888.0, ""bullwhip"": 91.2119140625, ""negotiation_proposals"": null}"
11,Factory,55,-1111.62119140625,False,llm,Qwen/Qwen3-4B,,55,,14,"{""inventory"": 0, ""backlog"": 115, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 35, ""last_order"": 40, ""current_week"": 11, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 110, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 42, ""last_order"": 55, ""current_week"": 11, ""lead_time"": 2}","{""cost"": 888.0, ""bullwhip"": 91.2119140625, ""negotiation_proposals"": null}"
12,Retailer,56,-1234.4956597222222,False,llm,Qwen/Qwen3-4B,,56,,1,"{""inventory"": 30, ""backlog"": 0, ""incoming_shipments"": 50, ""pipeline_inventory"": 50, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 12, ""lead_time"": 2}","{""inventory"": 42, ""backlog"": 0, ""incoming_shipments"": 60, ""pipeline_inventory"": 60, ""last_customer_demand"": 8, ""last_order"": 56, ""current_week"": 12, ""lead_time"": 2}","{""cost"": 988.0, ""bullwhip"": 99.95659722222223, ""negotiation_proposals"": null}"
12,Wholesaler,56,-1234.4956597222222,False,llm,Qwen/Qwen3-4B,,56,,1,"{""inventory"": 0, ""backlog"": 236, ""incoming_shipments"": 70, ""pipeline_inventory"": 70, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 12, ""lead_time"": 2}","{""inventory"": 0, ""backlog"": 262, ""incoming_shipments"": 80, ""pipeline_inventory"": 80, ""last_customer_demand"": 56, ""last_order"": 56, ""current_week"": 12, ""lead_time"": 2}","{""cost"": 988.0, ""bullwhip"": 99.95659722222223, ""negotiation_proposals"": null}"
